Node no.,CenterA,LeftA,RightA,RoadA,CenterB,LeftB,RightB,RoadB,CenterC,LeftC,RightC,RoadC
1,0,4.36,3.86,1.14,0,4.36,4.5,1.43,0,3.71,4.57,2.43
2,5,1.71,1.57,2.07,5.79,1.5,1.5,4.21,4,1.29,0.14,2.71
3,0,3.79,4.79,2.86,0,4.5,3.21,2.57,0,4.21,2.43,3.71
4,4.64,5.36,2.29,2.5,4.43,3.71,2.14,2.21,3.86,3.71,1.79,2.64
5,0,4.21,4.43,2.14,0,5.14,4.79,2.36,0,0.29,4.29,3.43
6,4.86,3.21,1.43,2.21,4.14,3.21,1.71,2,3.86,2.5,1.21,3.29
7,0,5.79,5.5,2.36,0,4.36,5.36,2,0,5.57,5.29,4.29
8,5.86,2.71,3.21,2.93,4.79,1.57,4.43,2.57,2.57,5.29,3.29,3.57
9,0,5.29,6.64,2.64,0,3.93,5.36,2,0,4.57,4.57,2.21
10,5.57,1.36,2.86,2.07,5.14,0.93,1.79,3.07,5.14,0.07,3.36,4.36
11,0,5.43,5.29,1.5,0,4.86,4.43,2.29,0,6,4.79,3.57
12,4.43,2.79,4.21,3.21,4.79,2,3.71,2.29,3.93,3.64,2.64,5.29
13,0,4.79,5.43,2.29,0,5.14,5.14,3,0,4.21,3.43,3.36
14,0,4.57,3.64,2.71,0,4.57,3.57,2.71,0,3.64,2.71,2.93
